00 03 3F A0 9C,GM --> DIA: Diagnostic command acknowledged
00 03 3F A2 9E,GM --> DIA: Diagnostic command rejected
C0 06 68 31 00 00 4A D5,MID --> RAD: Button, Button_A_released
C0 06 68 31 00 00 4B D4,MID --> RAD: Button, Button_B_released
C0 06 68 31 00 00 4D D2,MID --> RAD: Button, Button_D_released
C0 06 68 31 00 10 06 89,MID --> RAD: Button, Button_6_pressed
C0 06 68 31 00 10 0B 84,MID --> RAD: Button, Button_B_pressed
C0 06 68 31 00 10 46 C9,MID --> RAD: Button, Button_6_released
C0 06 68 31 00 10 4B C4,MID --> RAD: Button, Button_B_released
C0 06 68 31 00 15 07 8D,MID --> RAD: Button, Button_7_pressed
C0 06 68 31 00 15 0B 81,MID --> RAD: Button, Button_B_pressed
C0 06 68 31 00 15 47 CD,MID --> RAD: Button, Button_7_released
C0 06 68 31 00 15 4B C1,MID --> RAD: Button, Button_B_released
C0 06 68 31 00 21 06 B8,MID --> RAD: Button, Button_6_pressed
C0 06 68 31 00 21 46 F8,MID --> RAD: Button, Button_6_released
C0 06 68 31 00 33 04 A8,MID --> RAD: Button, Button_4_pressed
C0 06 68 31 00 33 06 AA,MID --> RAD: Button, Button_6_pressed
C0 06 68 31 00 33 09 A5,MID --> RAD: Button, Button_9_pressed
C0 06 68 31 00 33 0A A6,MID --> RAD: Button, Button_A_pressed
C0 06 68 31 00 33 0B A7,MID --> RAD: Button, Button_B_pressed
C0 06 68 31 00 33 44 E8,MID --> RAD: Button, Button_4_released
C0 06 68 31 00 33 46 EA,MID --> RAD: Button, Button_6_released
C0 06 68 31 00 33 49 E5,MID --> RAD: Button, Button_9_released
C0 06 68 31 00 33 4A E6,MID --> RAD: Button, Button_A_released
C0 06 68 31 00 33 4B E7,MID --> RAD: Button, Button_B_released
C0 06 68 31 00 34 02 A9,MID --> RAD: Button, Button_2_pressed
C0 06 68 31 00 34 04 AF,MID --> RAD: Button, Button_4_pressed
C0 06 68 31 00 34 08 A3,MID --> RAD: Button, Button_8_pressed
C0 06 68 31 00 34 0B A0,MID --> RAD: Button, Button_B_pressed
C0 06 68 31 00 34 2B 80,MID --> RAD: Button, Button_B_pressed_long
C0 06 68 31 00 34 42 E9,MID --> RAD: Button, Button_2_released
C0 06 68 31 00 34 44 EF,MID --> RAD: Button, Button_4_released
C0 06 68 31 00 34 48 E3,MID --> RAD: Button, Button_8_released
C0 06 68 31 00 34 4B E0,MID --> RAD: Button, Button_B_released
C0 06 68 31 00 35 03 A9,MID --> RAD: Button, Button_3_pressed
C0 06 68 31 00 35 43 E9,MID --> RAD: Button, Button_3_released
C0 06 68 31 00 46 06 DF,MID --> RAD: Button, Button_6_pressed
C0 06 68 31 00 46 46 9F,MID --> RAD: Button, Button_6_released
C0 06 80 31 01 20 00 56,MID --> IKE: Button, Button_0_pressed
C0 06 80 31 01 20 40 16,MID --> IKE: Button, Button_0_released
C0 06 FF 20 00 00 00 19,MID --> LOC: Display status, _short
C0 06 FF 20 00 40 00 59,MID --> LOC: Display status, _short Show_BC_Menu
C0 06 FF 20 00 B3 00 AA,MID --> LOC: Display status, _short Request_Initial_Text Request_Clock Show_AUDIO_Menu Show_AUDIO_Main Show_BC_Main
C0 06 FF 20 01 B0 00 A8,MID --> LOC: Display status, AUDIO_short Show_AUDIO_Menu Show_AUDIO_Main Show_BC_Main
C0 06 FF 20 08 E0 C0 31,MID --> LOC: Display status, CLOCK_short Show_AUDIO_Main Show_BC_Menu Show_BC_Main
C0 06 FF 20 10 E0 C0 29,MID --> LOC: Display status, BC_short Show_AUDIO_Main Show_BC_Menu Show_BC_Main
C0 06 FF 20 20 B0 00 89,MID --> LOC: Display status, Audio_On/Off_short Show_AUDIO_Menu Show_AUDIO_Main Show_BC_Main
C0 06 FF 20 20 B2 00 8B,MID --> LOC: Display status, Audio_On/Off_short Request_Clock Show_AUDIO_Menu Show_AUDIO_Main Show_BC_Main
C0 06 FF 20 20 E0 C0 19,MID --> LOC: Display status, Audio_On/Off_short Show_AUDIO_Main Show_BC_Menu Show_BC_Main
C8 04 E7 2B 00 00,TEL --> ANZV: Telephone indicators: All_off
C8 04 E7 2C 90 97,TEL --> ANZV: Telephone status: Phone_On
C8 05 E7 A6 00 00 8C,TEL --> ANZV: Special indicators: Request
C8 06 7F A9 31 00 00 29,TEL --> NAV: Telephone data, Telematics_settings_request
C8 11 3B 23 00 20 53 45 41 52 43 48 49 4E 47 2E 2E 2E 81,TEL --> GT: Display Text: Layout=0x00: Flags=CLS F0="SEARCHING..."
C8 13 3B 23 00 20 41 43 54 49 56 41 54 45 20 50 48 4F 4E 45 86,TEL --> GT: Display Text: Layout=0x00: Flags=CLS F0="ACTIVATE PHONE"
D0 03 3F A0 4C,LCM --> DIA: Diagnostic command acknowledged
D0 03 3F A2 4E,LCM --> DIA: Diagnostic command rejected
D0 04 3F A0 00 4B,LCM --> DIA: Diagnostic command acknowledged, Data="00"    [ ]
D0 04 3F A0 01 4A,LCM --> DIA: Diagnostic command acknowledged, Data="01"    [ ]
D0 04 BF 02 00 69,LCM --> GLO: Device status ready
D0 04 BF 02 01 68,LCM --> GLO: Device status ready, after Reset
D0 05 BF 5C 06 00 30,LCM --> GLO: Light dimmer, 6
D0 05 BF 5C 07 00 31,LCM --> GLO: Light dimmer, 7
D0 05 BF 5C 08 00 3E,LCM --> GLO: Light dimmer, 8
D0 05 BF 5C 09 00 3F,LCM --> GLO: Light dimmer, 9
D0 05 BF 5C 0A 00 3C,LCM --> GLO: Light dimmer, 10
D0 05 BF 5C 0B 00 3D,LCM --> GLO: Light dimmer, 11
D0 05 BF 5C 11 00 27,LCM --> GLO: Light dimmer, 17
D0 05 BF 5C 12 00 24,LCM --> GLO: Light dimmer, 18
D0 05 BF 5C 13 00 25,LCM --> GLO: Light dimmer, 19
D0 05 BF 5C 14 00 22,LCM --> GLO: Light dimmer, 20
D0 05 BF 5C 15 00 23,LCM --> GLO: Light dimmer, 21
D0 05 BF 5C 16 00 20,LCM --> GLO: Light dimmer, 22
D0 05 BF 5C 17 00 21,LCM --> GLO: Light dimmer, 23
D0 05 BF 5C 1A 00 2C,LCM --> GLO: Light dimmer, 26
D0 05 BF 5C 1B 00 2D,LCM --> GLO: Light dimmer, 27
D0 05 BF 5C 1C 00 2A,LCM --> GLO: Light dimmer, 28
D0 05 BF 5C 1E 00 28,LCM --> GLO: Light dimmer, 30
D0 05 BF 5C 1F 00 29,LCM --> GLO: Light dimmer, 31
D0 05 BF 5C 20 00 16,LCM --> GLO: Light dimmer, 32
D0 05 BF 5C 21 00 17,LCM --> GLO: Light dimmer, 33
D0 05 BF 5C 22 00 14,LCM --> GLO: Light dimmer, 34
D0 05 BF 5C 23 00 15,LCM --> GLO: Light dimmer, 35
D0 05 BF 5C 24 00 12,LCM --> GLO: Light dimmer, 36
D0 05 BF 5C 25 00 13,LCM --> GLO: Light dimmer, 37
D0 05 BF 5C 28 00 1E,LCM --> GLO: Light dimmer, 40
D0 05 BF 5C 29 00 1F,LCM --> GLO: Light dimmer, 41
D0 05 BF 5C 2A 00 1C,LCM --> GLO: Light dimmer, 42
D0 05 BF 5C 2B 00 1D,LCM --> GLO: Light dimmer, 43
D0 05 BF 5C 2C 00 1A,LCM --> GLO: Light dimmer, 44
D0 05 BF 5C 2D 00 1B,LCM --> GLO: Light dimmer, 45
D0 05 BF 5C 30 00 06,LCM --> GLO: Light dimmer, 48
D0 05 BF 5C 33 00 05,LCM --> GLO: Light dimmer, 51
D0 05 BF 5C 34 00 02,LCM --> GLO: Light dimmer, 52
D0 05 BF 5C 36 00 00,LCM --> GLO: Light dimmer, 54
D0 05 BF 5C 37 00 01,LCM --> GLO: Light dimmer, 55
D0 05 BF 5C 39 00 0F,LCM --> GLO: Light dimmer, 57
D0 05 BF 5C 3A 00 0C,LCM --> GLO: Light dimmer, 58
D0 05 BF 5C 3C 00 0A,LCM --> GLO: Light dimmer, 60
D0 05 BF 5C 3D 00 0B,LCM --> GLO: Light dimmer, 61
D0 05 BF 5C 3E 00 08,LCM --> GLO: Light dimmer, 62
D0 05 BF 5C 3F 00 09,LCM --> GLO: Light dimmer, 63
D0 05 BF 5C 40 00 76,LCM --> GLO: Light dimmer, 64
D0 05 BF 5C 41 00 77,LCM --> GLO: Light dimmer, 65
D0 05 BF 5C 42 00 74,LCM --> GLO: Light dimmer, 66
D0 05 BF 5C 44 00 72,LCM --> GLO: Light dimmer, 68
D0 05 BF 5C 45 00 73,LCM --> GLO: Light dimmer, 69
D0 05 BF 5C 46 00 70,LCM --> GLO: Light dimmer, 70
D0 05 BF 5C 47 00 71,LCM --> GLO: Light dimmer, 71
D0 05 BF 5C 48 00 7E,LCM --> GLO: Light dimmer, 72
D0 05 BF 5C 4A 00 7C,LCM --> GLO: Light dimmer, 74
D0 05 BF 5C 4E 00 78,LCM --> GLO: Light dimmer, 78
D0 05 BF 5C 50 00 66,LCM --> GLO: Light dimmer, 80
D0 05 BF 5C 51 00 67,LCM --> GLO: Light dimmer, 81
D0 05 BF 5C 52 00 64,LCM --> GLO: Light dimmer, 82
D0 05 BF 5C 54 00 62,LCM --> GLO: Light dimmer, 84
D0 05 BF 5C 57 00 61,LCM --> GLO: Light dimmer, 87
D0 05 BF 5C 59 00 6F,LCM --> GLO: Light dimmer, 89
D0 05 BF 5C 5C 00 6A,LCM --> GLO: Light dimmer, 92
D0 05 BF 5C 5D 00 6B,LCM --> GLO: Light dimmer, 93
D0 05 BF 5C 5E 00 68,LCM --> GLO: Light dimmer, 94
D0 05 BF 5C 5F 00 69,LCM --> GLO: Light dimmer, 95
D0 05 BF 5C 60 00 56,LCM --> GLO: Light dimmer, 96
D0 05 BF 5C 61 00 57,LCM --> GLO: Light dimmer, 97
D0 05 BF 5C 62 00 54,LCM --> GLO: Light dimmer, 98
D0 05 BF 5C 66 00 50,LCM --> GLO: Light dimmer, 102
D0 05 BF 5C 68 00 5E,LCM --> GLO: Light dimmer, 104
D0 05 BF 5C 69 00 5F,LCM --> GLO: Light dimmer, 105
D0 05 BF 5C 6B 00 5D,LCM --> GLO: Light dimmer, 107
D0 05 BF 5C 6C 00 5A,LCM --> GLO: Light dimmer, 108
D0 05 BF 5C 6F 00 59,LCM --> GLO: Light dimmer, 111
D0 05 BF 5C 72 00 44,LCM --> GLO: Light dimmer, 114
D0 05 BF 5C 74 00 42,LCM --> GLO: Light dimmer, 116
D0 05 BF 5C 76 00 40,LCM --> GLO: Light dimmer, 118
D0 05 BF 5C 77 00 41,LCM --> GLO: Light dimmer, 119
D0 05 BF 5C 78 00 4E,LCM --> GLO: Light dimmer, 120
D0 05 BF 5C 7A 00 4C,LCM --> GLO: Light dimmer, 122
D0 05 BF 5C 7E 00 48,LCM --> GLO: Light dimmer, 126
D0 05 BF 5C 82 00 B4,LCM --> GLO: Light dimmer, 130
D0 05 BF 5C 83 00 B5,LCM --> GLO: Light dimmer, 131
D0 05 BF 5C 84 00 B2,LCM --> GLO: Light dimmer, 132
D0 05 BF 5C 85 00 B3,LCM --> GLO: Light dimmer, 133
D0 05 BF 5C 88 00 BE,LCM --> GLO: Light dimmer, 136
D0 05 BF 5C 89 00 BF,LCM --> GLO: Light dimmer, 137
D0 05 BF 5C 8B 00 BD,LCM --> GLO: Light dimmer, 139
D0 05 BF 5C 8C 00 BA,LCM --> GLO: Light dimmer, 140
D0 05 BF 5C 8D 00 BB,LCM --> GLO: Light dimmer, 141
D0 05 BF 5C 8F 00 B9,LCM --> GLO: Light dimmer, 143
D0 05 BF 5C 90 00 A6,LCM --> GLO: Light dimmer, 144
D0 05 BF 5C 95 00 A3,LCM --> GLO: Light dimmer, 149
D0 05 BF 5C 97 00 A1,LCM --> GLO: Light dimmer, 151
D0 05 BF 5C 98 00 AE,LCM --> GLO: Light dimmer, 152
D0 05 BF 5C 9B 00 AD,LCM --> GLO: Light dimmer, 155
D0 05 BF 5C 9C 00 AA,LCM --> GLO: Light dimmer, 156
D0 05 BF 5C 9F 00 A9,LCM --> GLO: Light dimmer, 159
D0 05 BF 5C A0 00 96,LCM --> GLO: Light dimmer, 160
D0 05 BF 5C A1 00 97,LCM --> GLO: Light dimmer, 161
D0 05 BF 5C A2 00 94,LCM --> GLO: Light dimmer, 162
D0 05 BF 5C A3 00 95,LCM --> GLO: Light dimmer, 163
D0 05 BF 5C A6 00 90,LCM --> GLO: Light dimmer, 166
D0 05 BF 5C A8 00 9E,LCM --> GLO: Light dimmer, 168
D0 05 BF 5C AA 00 9C,LCM --> GLO: Light dimmer, 170
D0 05 BF 5C ABG 00 9D,LCM --> GLO: Light dimmer, 171
D0 05 BF 5C AC 00 9A,LCM --> GLO: Light dimmer, 172
D0 05 BF 5C AD 00 9B,LCM --> GLO: Light dimmer, 173
D0 05 BF 5C AE 00 98,LCM --> GLO: Light dimmer, 174
D0 05 BF 5C AF 00 99,LCM --> GLO: Light dimmer, 175
D0 05 BF 5C B0 00 86,LCM --> GLO: Light dimmer, 176
D0 05 BF 5C B1 00 87,LCM --> GLO: Light dimmer, 177
D0 05 BF 5C B2 00 84,LCM --> GLO: Light dimmer, 178
D0 05 BF 5C B3 00 85,LCM --> GLO: Light dimmer, 179
D0 05 BF 5C B4 00 82,LCM --> GLO: Light dimmer, 180
D0 05 BF 5C B5 00 83,LCM --> GLO: Light dimmer, 181
D0 05 BF 5C B7 00 81,LCM --> GLO: Light dimmer, 183
D0 05 BF 5C B8 00 8E,LCM --> GLO: Light dimmer, 184
D0 05 BF 5C B9 00 8F,LCM --> GLO: Light dimmer, 185
D0 05 BF 5C BA 00 8C,LCM --> GLO: Light dimmer, 186
D0 05 BF 5C BB 00 8D,LCM --> GLO: Light dimmer, 187
D0 05 BF 5C BC 00 8A,LCM --> GLO: Light dimmer, 188
D0 05 BF 5C BD 00 8B,LCM --> GLO: Light dimmer, 189
D0 05 BF 5C BE 00 88,LCM --> GLO: Light dimmer, 190
D0 05 BF 5C BF 00 89,LCM --> GLO: Light dimmer, 191
D0 05 BF 5C C1 00 F7,LCM --> GLO: Light dimmer, 193
D0 05 BF 5C C2 00 F4,LCM --> GLO: Light dimmer, 194
D0 05 BF 5C C3 00 F5,LCM --> GLO: Light dimmer, 195
D0 05 BF 5C C4 00 F2,LCM --> GLO: Light dimmer, 196
D0 05 BF 5C C5 00 F3,LCM --> GLO: Light dimmer, 197
D0 05 BF 5C C6 00 F0,LCM --> GLO: Light dimmer, 198
D0 05 BF 5C C9 00 FF,LCM --> GLO: Light dimmer, 201
D0 05 BF 5C CC 00 FA,LCM --> GLO: Light dimmer, 204
D0 05 BF 5C CD 00 FB,LCM --> GLO: Light dimmer, 205
D0 05 BF 5C CE 00 F8,LCM --> GLO: Light dimmer, 206
D0 05 BF 5C CF 00 F9,LCM --> GLO: Light dimmer, 207
D0 05 BF 5C D0 00 E6,LCM --> GLO: Light dimmer, 208
D0 05 BF 5C D2 00 E4,LCM --> GLO: Light dimmer, 210
D0 05 BF 5C D4 00 E2,LCM --> GLO: Light dimmer, 212
D0 05 BF 5C D5 00 E3,LCM --> GLO: Light dimmer, 213
D0 05 BF 5C D6 00 E0,LCM --> GLO: Light dimmer, 214
D0 05 BF 5C D7 00 E1,LCM --> GLO: Light dimmer, 215
D0 05 BF 5C D8 00 EE,LCM --> GLO: Light dimmer, 216
D0 05 BF 5C DB 00 ED,LCM --> GLO: Light dimmer, 219
D0 05 BF 5C DC 00 EA,LCM --> GLO: Light dimmer, 220
D0 05 BF 5C DD 00 EB,LCM --> GLO: Light dimmer, 221
D0 05 BF 5C DE 00 E8,LCM --> GLO: Light dimmer, 222
D0 05 BF 5C DF 00 E9,LCM --> GLO: Light dimmer, 223
D0 05 BF 5C E0 00 D6,LCM --> GLO: Light dimmer, 224
D0 05 BF 5C E1 00 D7,LCM --> GLO: Light dimmer, 225
D0 05 BF 5C E2 00 D4,LCM --> GLO: Light dimmer, 226
D0 05 BF 5C E8 00 DE,LCM --> GLO: Light dimmer, 232
D0 05 BF 5C EB 00 DD,LCM --> GLO: Light dimmer, 235
D0 05 BF 5C EC 00 DA,LCM --> GLO: Light dimmer, 236
D0 05 BF 5C ED 00 DB,LCM --> GLO: Light dimmer, 237
D0 05 BF 5C FF 00 C9,LCM --> GLO: Light dimmer, 255 (max)
D0 07 BF 5B 00 00 00 00 33,LCM --> GLO: Lamp status, All_Off  All_OK
D0 07 BF 5B 00 00 00 00 33,LCM --> GLO: Lamp status: All_Off All_OK
D0 07 BF 5B 00 01 00 00 32,LCM --> GLO: Lamp status, All_Off Faulty: Park
D0 07 BF 5B 00 01 08 04 3E,LCM --> GLO: Lamp status, All_Off Tail Faulty: Park Tail_Right
D0 07 BF 5B 00 01 08 0C 36,LCM --> GLO: Lamp status, All_Off Tail Faulty: Park Tail_Right Tail_Left
D0 07 BF 5B 00 08 08 04 37,LCM --> GLO: Lamp status, All_Off Tail Faulty: Fog_Front Tail_Right
D0 07 BF 5B 00 08 08 0C 3F,LCM --> GLO: Lamp status, All_Off Tail Faulty: Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 00 09 08 0C 3E,LCM --> GLO: Lamp status, All_Off Tail Faulty: Park Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 00 20 00 00 13,LCM --> GLO: Lamp status, All_Off Faulty: Indicator_Left
D0 07 BF 5B 00 40 00 00 73,LCM --> GLO: Lamp status, All_Off Faulty: Indicator_Right
D0 07 BF 5B 00 40 02 02 73,LCM --> GLO: Lamp status, All_Off Brake Faulty: Indicator_Right Brake_Left
D0 07 BF 5B 00 40 02 03 72,LCM --> GLO: Lamp status, All_Off Brake Faulty: Indicator_Right Brake_Right Brake_Left
D0 07 BF 5B 00 60 00 00 53,LCM --> GLO: Lamp status, All_Off Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 01 00 00 00 32,LCM --> GLO: Lamp status, Park  All_OK
D0 07 BF 5B 01 20 00 00 12,LCM --> GLO: Lamp status, Park Faulty: Indicator_Left
D0 07 BF 5B 01 40 00 00 72,LCM --> GLO: Lamp status, Park Faulty: Indicator_Right
D0 07 BF 5B 01 60 00 00 52,LCM --> GLO: Lamp status, Park Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 03 00 00 00 30,LCM --> GLO: Lamp status, Park Low_Beam  All_OK
D0 07 BF 5B 03 40 00 00 70,LCM --> GLO: Lamp status, Park Low_Beam Faulty: Indicator_Right
D0 07 BF 5B 03 40 02 03 71,LCM --> GLO: Lamp status, Park Low_Beam Brake Faulty: Indicator_Right Brake_Right Brake_Left
D0 07 BF 5B 03 60 00 00 50,LCM --> GLO: Lamp status, Park Low_Beam Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 07 00 00 00 34,LCM --> GLO: Lamp status, Park Low_Beam High_Beam  All_OK
D0 07 BF 5B 07 40 00 00 74,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Faulty: Indicator_Right
D0 07 BF 5B 09 00 00 00 3A,LCM --> GLO: Lamp status, Park Fog_Front  All_OK
D0 07 BF 5B 0B 00 00 00 38,LCM --> GLO: Lamp status, Park Low_Beam Fog_Front  All_OK
D0 07 BF 5B 0B 60 00 00 58,LCM --> GLO: Lamp status, Park Low_Beam Fog_Front Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 11 60 00 00 42,LCM --> GLO: Lamp status, Park Fog_Rear Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 20 00 00 00 13,LCM --> GLO: Lamp status, Indicator_Left  All_OK
D0 07 BF 5B 20 00 04 00 17,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync  All_OK
D0 07 BF 5B 20 00 08 04 1F,LCM --> GLO: Lamp status, Indicator_Left Tail Faulty: Tail_Right
D0 07 BF 5B 20 00 08 0C 17,LCM --> GLO: Lamp status, Indicator_Left Tail Faulty: Tail_Right Tail_Left
D0 07 BF 5B 20 00 0C 0C 13,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync Tail Faulty: Tail_Right Tail_Left
D0 07 BF 5B 20 01 08 0C 16,LCM --> GLO: Lamp status, Indicator_Left Tail Faulty: Park Tail_Right Tail_Left
D0 07 BF 5B 20 01 0C 0C 12,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync Tail Faulty: Park Tail_Right Tail_Left
D0 07 BF 5B 20 09 08 0C 1E,LCM --> GLO: Lamp status, Indicator_Left Tail Faulty: Park Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 20 09 0C 0C 1A,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync Tail Faulty: Park Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 20 40 04 00 57,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync Faulty: Indicator_Right
D0 07 BF 5B 21 00 04 00 16,LCM --> GLO: Lamp status, Park Indicator_Left Indicator_sync  All_OK
D0 07 BF 5B 21 20 00 00 32,LCM --> GLO: Lamp status, Park Indicator_Left Faulty: Indicator_Left
D0 07 BF 5B 21 40 04 00 56,LCM --> GLO: Lamp status, Park Indicator_Left Indicator_sync Faulty: Indicator_Right
D0 07 BF 5B 40 00 00 00 73,LCM --> GLO: Lamp status, Indicator_Right  All_OK
D0 07 BF 5B 40 00 04 00 77,LCM --> GLO: Lamp status, Indicator_Right Indicator_sync  All_OK
D0 07 BF 5B 40 08 0C 00 77,LCM --> GLO: Lamp status, Indicator_Right Indicator_sync Tail Faulty: Fog_Front
D0 07 BF 5B 41 00 04 00 76,LCM --> GLO: Lamp status, Park Indicator_Right Indicator_sync  All_OK
D0 07 BF 5B 41 20 04 00 56,LCM --> GLO: Lamp status, Park Indicator_Right Indicator_sync Faulty: Indicator_Left
D0 07 BF 5B 41 60 00 00 12,LCM --> GLO: Lamp status, Park Indicator_Right Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 60 00 00 00 53,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right  All_OK
D0 07 BF 5B 60 00 02 00 51,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Brake  All_OK
D0 07 BF 5B 60 00 04 00 57,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync  All_OK
D0 07 BF 5B 60 08 00 00 5B,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Faulty: Fog_Front
D0 07 BF 5B 60 08 0C 00 57,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync Tail Faulty: Fog_Front
D0 07 BF 5B 60 08 0C 0B 5C,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync Tail Faulty: Fog_Front Brake_Right Brake_Left Tail_Left
D0 07 BF 5B 60 08 0C 0C 5B,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync Tail Faulty: Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 60 09 0C 0C 5A,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync Tail Faulty: Park Fog_Front Tail_Right Tail_Left
D0 07 BF 5B 60 60 04 00 37,LCM --> GLO: Lamp status, Indicator_Left Indicator_Right Indicator_sync Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 63 00 04 00 54,LCM --> GLO: Lamp status, Park Low_Beam Indicator_Left Indicator_Right Indicator_sync  All_OK
D0 07 BF 5B 63 60 00 00 30,LCM --> GLO: Lamp status, Park Low_Beam Indicator_Left Indicator_Right Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 63 60 04 00 34,LCM --> GLO: Lamp status, Park Low_Beam Indicator_Left Indicator_Right Indicator_sync Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 67 40 04 00 10,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Indicator_Left Indicator_Right Indicator_sync Faulty: Indicator_Right
D0 07 BF 5B 67 60 00 00 34,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Indicator_Left Indicator_Right Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 77 00 00 00 44,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Fog_Rear Indicator_Left Indicator_Right  All_OK
D0 07 BF 5B 77 00 04 00 40,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Fog_Rear Indicator_Left Indicator_Right Indicator_sync  All_OK
D0 07 BF 5B 77 20 00 00 64,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Fog_Rear Indicator_Left Indicator_Right Faulty: Indicator_Left
D0 07 BF 5B 77 60 00 00 24,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Fog_Rear Indicator_Left Indicator_Right Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 77 60 04 00 20,LCM --> GLO: Lamp status, Park Low_Beam High_Beam Fog_Rear Indicator_Left Indicator_Right Indicator_sync Faulty: Indicator_Left Indicator_Right
D0 07 BF 5B 80 40 00 00 F3,LCM --> GLO: Lamp status, Faulty: Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B 80 60 00 00 D3,LCM --> GLO: Lamp status, Faulty: Indicator_Left Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B 81 20 00 00 92,LCM --> GLO: Lamp status, Park Faulty: Indicator_Left Indicator_Fast_Blink
D0 07 BF 5B 81 40 00 00 F2,LCM --> GLO: Lamp status, Park Faulty: Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B 83 60 00 00 D0,LCM --> GLO: Lamp status, Park Low_Beam Faulty: Indicator_Left Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B A0 60 04 00 F7,LCM --> GLO: Lamp status, Indicator_Left Indicator_sync Faulty: Indicator_Left Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B A1 20 04 00 B6,LCM --> GLO: Lamp status, Park Indicator_Left Indicator_sync Faulty: Indicator_Left Indicator_Fast_Blink
D0 07 BF 5B A3 60 04 00 F4,LCM --> GLO: Lamp status, Park Low_Beam Indicator_Left Indicator_sync Faulty: Indicator_Left Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B C0 40 04 00 B7,LCM --> GLO: Lamp status, Indicator_Right Indicator_sync Faulty: Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B C1 40 04 00 B6,LCM --> GLO: Lamp status, Park Indicator_Right Indicator_sync Faulty: Indicator_Right Indicator_Fast_Blink
D0 07 BF 5B C3 60 04 00 94,LCM --> GLO: Lamp status, Park Low_Beam Indicator_Right Indicator_sync Faulty: Indicator_Left Indicator_Right Indicator_Fast_Blink
D0 09 3F A0 02 47 43 95 64 60 D1,LCM --> DIA: Diagnostic command acknowledged, Data="02 47 43 95 64 60"    [ GCd`]
D0 0F 3F A0 08 38 62 08 00 18 13 00 18 99 09 41 D8,LCM --> DIA: Diagnostic command acknowledged, Data="08 38 62 08 00 18 13 00 18 99 09 41"    [ 8b       A]
D0 0F 3F A0 08 38 62 08 01 18 13 00 16 00 09 41 4E,LCM --> DIA: Diagnostic command acknowledged, Data="08 38 62 08 01 18 13 00 16 00 09 41"    [ 8b        A]
D0 0F 3F A0 FF FF FF 62 05 20 14 00 17 03 06 51 AF,LCM --> DIA: Diagnostic command acknowledged, Data="FF FF FF 62 05 20 14 00 17 03 06 51"    [b       Q]
D0 10 80 54 47 43 95 64 60 07 ABG 00 92 00 00 00 00 BF,LCM --> IKE: Vehicle data status, VIN GC95646; Total dist 196,300 kms [121,975 mls]; SI-L 1460 litres since last service; ; SI-T 0 days since last service
D0 10 80 54 47 43 95 64 60 07 AD 00 96 00 00 00 00 BD,LCM --> IKE: Vehicle data status, VIN GC95646; Total dist 196,500 kms [122,099 mls]; SI-L 1500 litres since last service; ; SI-T 0 days since last service
D0 10 80 54 47 43 95 64 60 07 B4 00 A3 00 00 00 00 91,LCM --> IKE: Vehicle data status, VIN GC95646; Total dist 197,200 kms [122,534 mls]; SI-L 1630 litres since last service; ; SI-T 0 days since last service
